# KRName IVSes
537F E0108; KRName; CID+11745
537F E0109; KRName; CID+61845
5795 E0101; KRName; CID+13413
5795 E0102; KRName; CID+62221
57CE E0104; KRName; CID+13490
57CE E0105; KRName; CID+61850
5ABA E0104; KRName; CID+14997
5ABA E0105; KRName; CID+14997
6210 E0105; KRName; CID+18530
6210 E0106; KRName; CID+61862
665F E0106; KRName; CID+62397
665F E0107; KRName; CID+20414
6674 E0104; KRName; CID+58918
6674 E0105; KRName; CID+20450
695E E0104; KRName; CID+62456
695E E0105; KRName; CID+21685
6D77 E0104; KRName; CID+58974
6D77 E0105; KRName; CID+23506
76DB E0104; KRName; CID+27857
76DB E0105; KRName; CID+62576
8056 E0105; KRName; CID+32464
8056 E0106; KRName; CID+32462
83BD E0108; KRName; CID+62747
83BD E0109; KRName; CID+34304
865C E0104; KRName; CID+58901
865C E0105; KRName; CID+35891
8941 E0104; KRName; CID+37220
8941 E0105; KRName; CID+62808
8AA0 E0104; KRName; CID+37898
8AA0 E0105; KRName; CID+62825
8ACB E0104; KRName; CID+62825
8ACB E0105; KRName; CID+37898
927C E0103; KRName; CID+41578
927C E0104; KRName; CID+41577
9F9C E0107; KRName; CID+47517
9F9C E0108; KRName; CID+63130
# Unicode Version 6.3 SVSes
4E0D FE00; Standardized_Variants; CID+9497
4E32 FE00; Standardized_Variants; CID+9552
4E39 FE00; Standardized_Variants; CID+9561
4E82 FE00; Standardized_Variants; CID+9654
4E86 FE00; Standardized_Variants; CID+9661
4EAE FE00; Standardized_Variants; CID+9726
4EC0 FE00; Standardized_Variants; CID+9757
4EE4 FE00; Standardized_Variants; CID+9809
4F86 FE00; Standardized_Variants; CID+10048
4F8B FE00; Standardized_Variants; CID+10055
4FBF FE00; Standardized_Variants; CID+10137
502B FE00; Standardized_Variants; CID+10321
50DA FE00; Standardized_Variants; CID+10640
5169 FE00; Standardized_Variants; CID+10902
516D FE00; Standardized_Variants; CID+10913
51B7 FE00; Standardized_Variants; CID+11018
51C9 FE00; Standardized_Variants; CID+11048
51CC FE00; Standardized_Variants; CID+11056
51DC FE00; Standardized_Variants; CID+11084
5207 FE00; Standardized_Variants; CID+11147
5217 FE00; Standardized_Variants; CID+11165
5229 FE00; Standardized_Variants; CID+11191
523A FE00; Standardized_Variants; CID+11214
5289 FE00; Standardized_Variants; CID+11342
529B FE00; Standardized_Variants; CID+11379
52A3 FE00; Standardized_Variants; CID+11387
52D2 FE00; Standardized_Variants; CID+11456
52DE FE00; Standardized_Variants; CID+11475
52F5 FE00; Standardized_Variants; CID+11511
5317 FE00; Standardized_Variants; CID+11568
533F FE00; Standardized_Variants; CID+11651
5375 FE00; Standardized_Variants; CID+11727
53C3 FE00; Standardized_Variants; CID+11851
53E5 FE00; Standardized_Variants; CID+11907
540F FE00; Standardized_Variants; CID+11961
541D FE00; Standardized_Variants; CID+11978
5442 FE00; Standardized_Variants; CID+12045
